Название,Автор,Обложка,Статус,Дата добавления,Жанр,Комментарий,Связь - Книги,Ссылка,Темы
"Богатый папа, бедный папа",Роберт Кийосаки,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/119256-robert-kiyosaki-bogatyy-papa-bednyy-papa.jpg,В планах,"September 28, 2022 2:19 AM",Книги по саморазвитию,,,https://www.litres.ru/robert-kiyosaki/bogatyy-papa-bednyy-papa/,
Библия. Книги Ветхого и Нового Заветов,Неизвестен,https://s1.livelib.ru/boocover/1005516448/200x305/2b6d/boocover.jpg,В планах,"September 28, 2022 2:20 AM",Книги по саморазвитию,,,https://www.livelib.ru/book/1005516448-bibliya-knigi-vethogo-i-novogo-zavetov,
Автостопом по Галактике (сборник),Дуглас Адамс,https://s1.livelib.ru/boocover/1002128106/200x305/4295/boocover.jpg,В планах,"September 28, 2022 2:20 AM",Развлекательная литература,,,https://www.livelib.ru/book/1002128106-avtostopom-po-galaktike-sbornik-duglas-adams,
1984,Джордж Оруэлл,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/129098--.jpg,В планах,"September 28, 2022 2:21 AM",Развлекательная литература,,,https://www.litres.ru/dzhordzh-oruell/1984/,
Тонкое искусство пофигизма. Парадоксальный способ жить счастливо,Марк Мэнсон,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/25440816-mark-menson-tonkoe-iskusstvo-pofigizma.jpg,В планах,"September 28, 2022 2:21 AM",Книги по саморазвитию,,,https://www.litres.ru/mark-menson/tonkoe-iskusstvo-pofigizma/,
Спотыкаясь о счастье,Дэниел Гилберт,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/8883178-deniel-gilbert-spotykayas-o-schaste-8883178.jpg,В планах,"September 28, 2022 2:21 AM",Развлекательная литература,,,https://www.litres.ru/deniel-gilbert/spotykayas-o-schaste-8883178/,
Семь навыков высокоэффективных людей,Стивен Кови,https://s1.livelib.ru/boocover/1003055575/200x305/3dd3/boocover.jpg,В планах,"September 28, 2022 2:22 AM",Книги по саморазвитию,,,https://www.livelib.ru/book/1003055575-sem-navykov-vysokoeffektivnyh-lyudej-stiven-kovi,
Думай и богатей: золотые правила успеха,Наполеон Хилл,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/17197226-napoleon-hill-dumay-i-bogatey-zolotye-pravila-uspeha.jpg,В планах,"September 28, 2022 2:23 AM",Книги по саморазвитию,,,https://www.litres.ru/napoleon-hill/dumay-i-bogatey-zolotye-pravila-uspeha/,
Самый богатый человек в Вавилоне,Джордж Клейсон,https://s1.livelib.ru/boocover/1007261464/200x305/54f5/boocover.jpg,В планах,"September 28, 2022 2:23 AM",Книги по саморазвитию,,,https://www.livelib.ru/book/1007261464-samyj-bogatyj-chelovek-v-vavilone-dzhordzh-klejson,
Королева Солнца (сборник),Андрэ Нортон,https://s1.livelib.ru/boocover/1000318613/200x305/e1cf/boocover.jpg,В планах,"September 28, 2022 2:24 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000318613-koroleva-solntsa-sbornik-andre-norton,
